,sex,pclass,who,alone,fare,sex_,pclass_,who_,alone_,fare_,survived_
512,male,1,adult,True,26.2875,1,0,0,1,141,1
513,female,1,adult,False,59.4,0,0,0,0,197,1
514,male,3,adult,True,7.4958,1,2,0,1,20,0
515,male,1,adult,True,34.0208,1,0,0,1,164,0
516,female,2,adult,True,10.5,0,1,0,1,72,1
517,male,3,adult,True,24.15,1,2,0,1,133,0
518,female,2,adult,False,26.0,0,1,0,0,138,1
519,male,3,adult,True,7.8958,1,2,0,1,40,0
520,female,1,adult,True,93.5,0,0,0,1,226,1
521,male,3,adult,True,7.8958,1,2,0,1,40,0
522,male,3,adult,True,7.225,1,2,0,1,16,0
523,female,1,adult,False,57.9792,0,0,0,0,196,1
524,male,3,adult,True,7.2292,1,2,0,1,17,0
525,male,3,adult,True,7.75,1,2,0,1,30,0
526,female,2,adult,True,10.5,0,1,0,1,72,1
527,male,1,adult,True,221.7792,1,0,0,1,241,0
528,male,3,adult,True,7.925,1,2,0,1,41,0
529,male,2,adult,False,11.5,1,1,0,0,76,0
530,female,2,child,False,26.0,0,1,1,0,138,1
531,male,3,adult,True,7.2292,1,2,0,1,17,0
532,male,3,adult,False,7.2292,1,2,0,0,17,0
533,female,3,adult,False,22.3583,0,2,0,0,127,1
534,female,3,adult,True,8.6625,0,2,0,1,54,0
535,female,2,child,False,26.25,0,1,1,0,139,1
536,male,1,adult,True,26.55,1,0,0,1,143,0
537,female,1,adult,True,106.425,0,0,0,1,227,1
538,male,3,adult,True,14.5,1,2,0,1,96,0
539,female,1,adult,False,49.5,0,0,0,0,181,1
540,female,1,adult,False,71.0,0,0,0,0,206,1
541,female,3,child,False,31.275,0,2,1,0,158,0
542,female,3,child,False,31.275,0,2,1,0,158,0
543,male,2,adult,False,26.0,1,1,0,0,138,1
544,male,1,adult,False,106.425,1,0,0,0,227,0
545,male,1,adult,True,26.0,1,0,0,1,138,0
546,female,2,adult,False,26.0,0,1,0,0,138,1
547,male,2,adult,True,13.8625,1,1,0,1,90,1
548,male,3,adult,False,20.525,1,2,0,0,121,0
549,male,2,child,False,36.75,1,1,1,0,169,1
550,male,1,adult,False,110.8833,1,0,0,0,229,1
551,male,2,adult,True,26.0,1,1,0,1,138,0
552,male,3,adult,True,7.8292,1,2,0,1,35,0
553,male,3,adult,True,7.225,1,2,0,1,16,1
554,female,3,adult,True,7.775,0,2,0,1,31,1
555,male,1,adult,True,26.55,1,0,0,1,143,0
556,female,1,adult,False,39.6,0,0,0,0,174,1
557,male,1,adult,True,227.525,1,0,0,1,242,0
558,female,1,adult,False,79.65,0,0,0,0,217,1
559,female,3,adult,False,17.4,0,2,0,0,111,1
560,male,3,adult,True,7.75,1,2,0,1,30,0
561,male,3,adult,True,7.8958,1,2,0,1,40,0
562,male,2,adult,True,13.5,1,1,0,1,87,0
563,male,3,adult,True,8.05,1,2,0,1,43,0
564,female,3,adult,True,8.05,0,2,0,1,43,0
565,male,3,adult,False,24.15,1,2,0,0,133,0
566,male,3,adult,True,7.8958,1,2,0,1,40,0
567,female,3,adult,False,21.075,0,2,0,0,124,0
568,male,3,adult,True,7.2292,1,2,0,1,17,0
569,male,3,adult,True,7.8542,1,2,0,1,36,1
570,male,2,adult,True,10.5,1,1,0,1,72,1
571,female,1,adult,False,51.4792,0,0,0,0,185,1
572,male,1,adult,True,26.3875,1,0,0,1,142,1
573,female,3,adult,True,7.75,0,2,0,1,30,1
574,male,3,adult,True,8.05,1,2,0,1,43,0
575,male,3,adult,True,14.5,1,2,0,1,96,0
576,female,2,adult,True,13.0,0,1,0,1,85,1
577,female,1,adult,False,55.9,0,0,0,0,192,1
578,female,3,adult,False,14.4583,0,2,0,0,95,0
579,male,3,adult,True,7.925,1,2,0,1,41,1
580,female,2,adult,False,30.0,0,1,0,0,153,1
581,female,1,adult,False,110.8833,0,0,0,0,229,1
582,male,2,adult,True,26.0,1,1,0,1,138,0
583,male,1,adult,True,40.125,1,0,0,1,176,0
584,male,3,adult,True,8.7125,1,2,0,1,56,0
585,female,1,adult,False,79.65,0,0,0,0,217,1
586,male,2,adult,True,15.0,1,1,0,1,97,0
587,male,1,adult,False,79.2,1,0,0,0,216,1
588,male,3,adult,True,8.05,1,2,0,1,43,0
589,male,3,adult,True,8.05,1,2,0,1,43,0
590,male,3,adult,True,7.125,1,2,0,1,14,0
591,female,1,adult,False,78.2667,0,0,0,0,214,1
592,male,3,adult,True,7.25,1,2,0,1,18,0
593,female,3,adult,False,7.75,0,2,0,0,30,0
594,male,2,adult,False,26.0,1,1,0,0,138,0
595,male,3,adult,False,24.15,1,2,0,0,133,0
596,female,2,adult,True,33.0,0,1,0,1,162,1
597,male,3,adult,True,0.0,1,2,0,1,0,0
598,male,3,adult,True,7.225,1,2,0,1,16,0
599,male,1,adult,False,56.9292,1,0,0,0,194,1
600,female,2,adult,False,27.0,0,1,0,0,144,1
601,male,3,adult,True,7.8958,1,2,0,1,40,0
602,male,1,adult,True,42.4,1,0,0,1,178,0
603,male,3,adult,True,8.05,1,2,0,1,43,0
604,male,1,adult,True,26.55,1,0,0,1,143,1
605,male,3,adult,False,15.55,1,2,0,0,103,0
606,male,3,adult,True,7.8958,1,2,0,1,40,0
607,male,1,adult,True,30.5,1,0,0,1,155,1
608,female,2,adult,False,41.5792,0,1,0,0,177,1
609,female,1,adult,True,153.4625,0,0,0,1,237,1
610,female,3,adult,False,31.275,0,2,0,0,158,0
611,male,3,adult,True,7.05,1,2,0,1,12,0
612,female,3,adult,False,15.5,0,2,0,0,102,1
613,male,3,adult,True,7.75,1,2,0,1,30,0
614,male,3,adult,True,8.05,1,2,0,1,43,0
615,female,2,adult,False,65.0,0,1,0,0,202,1
616,male,3,adult,False,14.4,1,2,0,0,93,0
617,female,3,adult,False,16.1,0,2,0,0,109,0
618,female,2,child,False,39.0,0,1,1,0,172,1
619,male,2,adult,True,10.5,1,1,0,1,72,0
620,male,3,adult,False,14.4542,1,2,0,0,94,0
621,male,1,adult,False,52.5542,1,0,0,0,188,1
622,male,3,adult,False,15.7417,1,2,0,0,104,1
623,male,3,adult,True,7.8542,1,2,0,1,36,0
624,male,3,adult,True,16.1,1,2,0,1,109,0
625,male,1,adult,True,32.3208,1,0,0,1,160,0
626,male,2,adult,True,12.35,1,1,0,1,80,0
627,female,1,adult,True,77.9583,0,0,0,1,213,1
628,male,3,adult,True,7.8958,1,2,0,1,40,0
629,male,3,adult,True,7.7333,1,2,0,1,27,0
630,male,1,adult,True,30.0,1,0,0,1,153,1
631,male,3,adult,True,7.0542,1,2,0,1,13,0
632,male,1,adult,True,30.5,1,0,0,1,155,1
633,male,1,adult,True,0.0,1,0,0,1,0,0
634,female,3,child,False,27.9,0,2,1,0,147,0
635,female,2,adult,True,13.0,0,1,0,1,85,1
636,male,3,adult,True,7.925,1,2,0,1,41,0
637,male,2,adult,False,26.25,1,1,0,0,139,0
638,female,3,adult,False,39.6875,0,2,0,0,175,0
639,male,3,adult,False,16.1,1,2,0,0,109,0
640,male,3,adult,True,7.8542,1,2,0,1,36,0
641,female,1,adult,True,69.3,0,0,0,1,204,1
642,female,3,child,False,27.9,0,2,1,0,147,0
643,male,3,adult,True,56.4958,1,2,0,1,193,1
644,female,3,child,False,19.2583,0,2,1,0,116,1
645,male,1,adult,False,76.7292,1,0,0,0,211,1
646,male,3,adult,True,7.8958,1,2,0,1,40,0
647,male,1,adult,True,35.5,1,0,0,1,168,1
648,male,3,adult,True,7.55,1,2,0,1,22,0
649,female,3,adult,True,7.55,0,2,0,1,22,1
650,male,3,adult,True,7.8958,1,2,0,1,40,0
651,female,2,adult,False,23.0,0,1,0,0,129,1
652,male,3,adult,True,8.4333,1,2,0,1,50,0
653,female,3,adult,True,7.8292,0,2,0,1,35,1
654,female,3,adult,True,6.75,0,2,0,1,7,0
655,male,2,adult,False,73.5,1,1,0,0,208,0
656,male,3,adult,True,7.8958,1,2,0,1,40,0
657,female,3,adult,False,15.5,0,2,0,0,102,0
658,male,2,adult,True,13.0,1,1,0,1,85,0
659,male,1,adult,False,113.275,1,0,0,0,230,0
660,male,1,adult,False,133.65,1,0,0,0,232,1
661,male,3,adult,True,7.225,1,2,0,1,16,0
662,male,1,adult,True,25.5875,1,0,0,1,135,0
663,male,3,adult,True,7.4958,1,2,0,1,20,0
664,male,3,adult,False,7.925,1,2,0,0,41,1
665,male,2,adult,False,73.5,1,1,0,0,208,0
666,male,2,adult,True,13.0,1,1,0,1,85,0
667,male,3,adult,True,7.775,1,2,0,1,31,0
668,male,3,adult,True,8.05,1,2,0,1,43,0
669,female,1,adult,False,52.0,0,0,0,0,187,1
670,female,2,adult,False,39.0,0,1,0,0,172,1
671,male,1,adult,False,52.0,1,0,0,0,187,0
672,male,2,adult,True,10.5,1,1,0,1,72,0
673,male,2,adult,True,13.0,1,1,0,1,85,1
674,male,2,adult,True,0.0,1,1,0,1,0,0
675,male,3,adult,True,7.775,1,2,0,1,31,0
676,male,3,adult,True,8.05,1,2,0,1,43,0
677,female,3,adult,True,9.8417,0,2,0,1,68,1
678,female,3,adult,False,46.9,0,2,0,0,179,0
679,male,1,adult,False,512.3292,1,0,0,0,246,1
680,female,3,adult,True,8.1375,0,2,0,1,45,0
681,male,1,adult,True,76.7292,1,0,0,1,211,1
682,male,3,adult,True,9.225,1,2,0,1,60,0
683,male,3,child,False,46.9,1,2,1,0,179,0
684,male,2,adult,False,39.0,1,1,0,0,172,0
685,male,2,adult,False,41.5792,1,1,0,0,177,0
686,male,3,child,False,39.6875,1,2,1,0,175,0
687,male,3,adult,True,10.1708,1,2,0,1,70,0
688,male,3,adult,True,7.7958,1,2,0,1,33,0
689,female,1,child,False,211.3375,0,0,1,0,239,1
690,male,1,adult,False,57.0,1,0,0,0,195,1
691,female,3,child,False,13.4167,0,2,1,0,86,1
692,male,3,adult,True,56.4958,1,2,0,1,193,1
693,male,3,adult,True,7.225,1,2,0,1,16,0
694,male,1,adult,True,26.55,1,0,0,1,143,0
695,male,2,adult,True,13.5,1,1,0,1,87,0
696,male,3,adult,True,8.05,1,2,0,1,43,0
697,female,3,adult,True,7.7333,0,2,0,1,27,1
698,male,1,adult,False,110.8833,1,0,0,0,229,0
699,male,3,adult,True,7.65,1,2,0,1,24,0
700,female,1,adult,False,227.525,0,0,0,0,242,1
701,male,1,adult,True,26.2875,1,0,0,1,141,1
702,female,3,adult,False,14.4542,0,2,0,0,94,0
703,male,3,adult,True,7.7417,1,2,0,1,29,0
704,male,3,adult,False,7.8542,1,2,0,0,36,0
705,male,2,adult,True,26.0,1,1,0,1,138,0
706,female,2,adult,True,13.5,0,1,0,1,87,1
707,male,1,adult,True,26.2875,1,0,0,1,141,1
708,female,1,adult,True,151.55,0,0,0,1,236,1
709,male,3,adult,False,15.2458,1,2,0,0,101,1
710,female,1,adult,True,49.5042,0,0,0,1,182,1
711,male,1,adult,True,26.55,1,0,0,1,143,0
712,male,1,adult,False,52.0,1,0,0,0,187,1
713,male,3,adult,True,9.4833,1,2,0,1,63,0
714,male,2,adult,True,13.0,1,1,0,1,85,0
715,male,3,adult,True,7.65,1,2,0,1,24,0
716,female,1,adult,True,227.525,0,0,0,1,242,1
717,female,2,adult,True,10.5,0,1,0,1,72,1
718,male,3,adult,True,15.5,1,2,0,1,102,0
719,male,3,adult,True,7.775,1,2,0,1,31,0
720,female,2,child,False,33.0,0,1,1,0,162,1
721,male,3,adult,False,7.0542,1,2,0,0,13,0
722,male,2,adult,True,13.0,1,1,0,1,85,0
723,male,2,adult,True,13.0,1,1,0,1,85,0
724,male,1,adult,False,53.1,1,0,0,0,189,1
725,male,3,adult,True,8.6625,1,2,0,1,54,0
726,female,2,adult,False,21.0,0,1,0,0,123,1
727,female,3,adult,True,7.7375,0,2,0,1,28,1
728,male,2,adult,False,26.0,1,1,0,0,138,0
729,female,3,adult,False,7.925,0,2,0,0,41,0
730,female,1,adult,True,211.3375,0,0,0,1,239,1
731,male,3,child,True,18.7875,1,2,1,1,115,0
732,male,2,adult,True,0.0,1,1,0,1,0,0
733,male,2,adult,True,13.0,1,1,0,1,85,0
734,male,2,adult,True,13.0,1,1,0,1,85,0
735,male,3,adult,True,16.1,1,2,0,1,109,0
736,female,3,adult,False,34.375,0,2,0,0,165,0
737,male,1,adult,True,512.3292,1,0,0,1,246,1
738,male,3,adult,True,7.8958,1,2,0,1,40,0
739,male,3,adult,True,7.8958,1,2,0,1,40,0
740,male,1,adult,True,30.0,1,0,0,1,153,1
741,male,1,adult,False,78.85,1,0,0,0,215,0
742,female,1,adult,False,262.375,0,0,0,0,244,1
743,male,3,adult,False,16.1,1,2,0,0,109,0
744,male,3,adult,True,7.925,1,2,0,1,41,1
745,male,1,adult,False,71.0,1,0,0,0,206,0
746,male,3,adult,False,20.25,1,2,0,0,120,0
747,female,2,adult,True,13.0,0,1,0,1,85,1
748,male,1,adult,False,53.1,1,0,0,0,189,0
749,male,3,adult,True,7.75,1,2,0,1,30,0
750,female,2,child,False,23.0,0,1,1,0,129,1
751,male,3,child,False,12.475,1,2,1,0,81,1
752,male,3,adult,True,9.5,1,2,0,1,64,0
753,male,3,adult,True,7.8958,1,2,0,1,40,0
754,female,2,adult,False,65.0,0,1,0,0,202,1
755,male,2,child,False,14.5,1,1,1,0,96,1
756,male,3,adult,True,7.7958,1,2,0,1,33,0
757,male,2,adult,True,11.5,1,1,0,1,76,0
758,male,3,adult,True,8.05,1,2,0,1,43,0
759,female,1,adult,True,86.5,0,0,0,1,222,1
760,male,3,adult,True,14.5,1,2,0,1,96,0
761,male,3,adult,True,7.125,1,2,0,1,14,0
762,male,3,adult,True,7.2292,1,2,0,1,17,1
763,female,1,adult,False,120.0,0,0,0,0,231,1
764,male,3,adult,True,7.775,1,2,0,1,31,0
765,female,1,adult,False,77.9583,0,0,0,0,213,1
766,male,1,adult,True,39.6,1,0,0,1,174,0
767,female,3,adult,True,7.75,0,2,0,1,30,0
768,male,3,adult,False,24.15,1,2,0,0,133,0
769,male,3,adult,True,8.3625,1,2,0,1,48,0
770,male,3,adult,True,9.5,1,2,0,1,64,0
771,male,3,adult,True,7.8542,1,2,0,1,36,0
772,female,2,adult,True,10.5,0,1,0,1,72,0
773,male,3,adult,True,7.225,1,2,0,1,16,0
774,female,2,adult,False,23.0,0,1,0,0,129,1
775,male,3,adult,True,7.75,1,2,0,1,30,0
776,male,3,adult,True,7.75,1,2,0,1,30,0
777,female,3,child,True,12.475,0,2,1,1,81,1
778,male,3,adult,True,7.7375,1,2,0,1,28,0
779,female,1,adult,False,211.3375,0,0,0,0,239,1
780,female,3,child,True,7.2292,0,2,1,1,17,1
781,female,1,adult,False,57.0,0,0,0,0,195,1
782,male,1,adult,True,30.0,1,0,0,1,153,0
783,male,3,adult,False,23.45,1,2,0,0,131,0
784,male,3,adult,True,7.05,1,2,0,1,12,0
785,male,3,adult,True,7.25,1,2,0,1,18,0
786,female,3,adult,True,7.4958,0,2,0,1,20,1
787,male,3,child,False,29.125,1,2,1,0,151,0
788,male,3,child,False,20.575,1,2,1,0,122,1
789,male,1,adult,True,79.2,1,0,0,1,216,0
790,male,3,adult,True,7.75,1,2,0,1,30,0
791,male,2,adult,True,26.0,1,1,0,1,138,0
792,female,3,adult,False,69.55,0,2,0,0,205,0
793,male,1,adult,True,30.6958,1,0,0,1,156,0
794,male,3,adult,True,7.8958,1,2,0,1,40,0
795,male,2,adult,True,13.0,1,1,0,1,85,0
796,female,1,adult,True,25.9292,0,0,0,1,137,1
797,female,3,adult,True,8.6833,0,2,0,1,55,1
798,male,3,adult,True,7.2292,1,2,0,1,17,0
799,female,3,adult,False,24.15,0,2,0,0,133,0
800,male,2,adult,True,13.0,1,1,0,1,85,0
801,female,2,adult,False,26.25,0,1,0,0,139,1
802,male,1,child,False,120.0,1,0,1,0,231,1
803,male,3,child,False,8.5167,1,2,1,0,52,1
804,male,3,adult,True,6.975,1,2,0,1,10,1
805,male,3,adult,True,7.775,1,2,0,1,31,0
806,male,1,adult,True,0.0,1,0,0,1,0,0
807,female,3,adult,True,7.775,0,2,0,1,31,0
808,male,2,adult,True,13.0,1,1,0,1,85,0
809,female,1,adult,False,53.1,0,0,0,0,189,1
810,male,3,adult,True,7.8875,1,2,0,1,39,0
811,male,3,adult,True,24.15,1,2,0,1,133,0
812,male,2,adult,True,10.5,1,1,0,1,72,0
813,female,3,child,False,31.275,0,2,1,0,158,0
814,male,3,adult,True,8.05,1,2,0,1,43,0
815,male,1,adult,True,0.0,1,0,0,1,0,0
816,female,3,adult,True,7.925,0,2,0,1,41,0
817,male,2,adult,False,37.0042,1,1,0,0,170,0
818,male,3,adult,True,6.45,1,2,0,1,5,0
819,male,3,child,False,27.9,1,2,1,0,147,0
820,female,1,adult,False,93.5,0,0,0,0,226,1
821,male,3,adult,True,8.6625,1,2,0,1,54,1
822,male,1,adult,True,0.0,1,0,0,1,0,0
823,female,3,adult,False,12.475,0,2,0,0,81,1
824,male,3,child,False,39.6875,1,2,1,0,175,0
825,male,3,adult,True,6.95,1,2,0,1,9,0
826,male,3,adult,True,56.4958,1,2,0,1,193,0
827,male,2,child,False,37.0042,1,1,1,0,170,1
828,male,3,adult,True,7.75,1,2,0,1,30,1
830,female,3,child,False,14.4542,0,2,1,0,94,1
831,male,2,child,False,18.75,1,1,1,0,114,1
832,male,3,adult,True,7.2292,1,2,0,1,17,0
833,male,3,adult,True,7.8542,1,2,0,1,36,0
834,male,3,adult,True,8.3,1,2,0,1,47,0
835,female,1,adult,False,83.1583,0,0,0,0,220,1
836,male,3,adult,True,8.6625,1,2,0,1,54,0
837,male,3,adult,True,8.05,1,2,0,1,43,0
838,male,3,adult,True,56.4958,1,2,0,1,193,1
839,male,1,adult,True,29.7,1,0,0,1,152,1
840,male,3,adult,True,7.925,1,2,0,1,41,0
841,male,2,adult,True,10.5,1,1,0,1,72,0
842,female,1,adult,True,31.0,0,0,0,1,157,1
843,male,3,adult,True,6.4375,1,2,0,1,4,0
844,male,3,adult,True,8.6625,1,2,0,1,54,0
845,male,3,adult,True,7.55,1,2,0,1,22,0
846,male,3,adult,False,69.55,1,2,0,0,205,0
847,male,3,adult,True,7.8958,1,2,0,1,40,0
848,male,2,adult,False,33.0,1,1,0,0,162,0
849,female,1,adult,False,89.1042,0,0,0,0,223,1
850,male,3,child,False,31.275,1,2,1,0,158,0
851,male,3,adult,True,7.775,1,2,0,1,31,0
852,female,3,child,False,15.2458,0,2,1,0,101,0
853,female,1,adult,False,39.4,0,0,0,0,173,1
854,female,2,adult,False,26.0,0,1,0,0,138,0
855,female,3,adult,False,9.35,0,2,0,0,61,1
856,female,1,adult,False,164.8667,0,0,0,0,238,1
857,male,1,adult,True,26.55,1,0,0,1,143,1
858,female,3,adult,False,19.2583,0,2,0,0,116,1
859,male,3,adult,True,7.2292,1,2,0,1,17,0
860,male,3,adult,False,14.1083,1,2,0,0,92,0
861,male,2,adult,False,11.5,1,1,0,0,76,0
862,female,1,adult,True,25.9292,0,0,0,1,137,1
863,female,3,adult,False,69.55,0,2,0,0,205,0
864,male,2,adult,True,13.0,1,1,0,1,85,0
865,female,2,adult,True,13.0,0,1,0,1,85,1
866,female,2,adult,False,13.8583,0,1,0,0,89,1
867,male,1,adult,True,50.4958,1,0,0,1,184,0
868,male,3,adult,True,9.5,1,2,0,1,64,0
869,male,3,child,False,11.1333,1,2,1,0,74,1
870,male,3,adult,True,7.8958,1,2,0,1,40,0
871,female,1,adult,False,52.5542,0,0,0,0,188,1
872,male,1,adult,True,5.0,1,0,0,1,2,0
873,male,3,adult,True,9.0,1,2,0,1,58,0
874,female,2,adult,False,24.0,0,1,0,0,132,1
875,female,3,child,True,7.225,0,2,1,1,16,1
876,male,3,adult,True,9.8458,1,2,0,1,69,0
877,male,3,adult,True,7.8958,1,2,0,1,40,0
878,male,3,adult,True,7.8958,1,2,0,1,40,0
879,female,1,adult,False,83.1583,0,0,0,0,220,1
880,female,2,adult,False,26.0,0,1,0,0,138,1
881,male,3,adult,True,7.8958,1,2,0,1,40,0
882,female,3,adult,True,10.5167,0,2,0,1,73,0
883,male,2,adult,True,10.5,1,1,0,1,72,0
884,male,3,adult,True,7.05,1,2,0,1,12,0
885,female,3,adult,False,29.125,0,2,0,0,151,0
886,male,2,adult,True,13.0,1,1,0,1,85,0
887,female,1,adult,True,30.0,0,0,0,1,153,1
888,female,3,adult,False,23.45,0,2,0,0,131,0
889,male,1,adult,True,30.0,1,0,0,1,153,1
890,male,3,adult,True,7.75,1,2,0,1,30,0
